"name_cell" "origin_space"
"306" "SS.sc7786595" "Rostral"
"307" "SS.sc7788151" "Caudal"
"308" "SS.sc7786232" "Caudal"
"309" "SS.sc7785777" "Caudal"
"310" "SS.sc7785818" "Caudal"
"311" "SS.sc7785651" "Yolk Sac"
"312" "SS.sc7786506" "Rostral"
"313" "SS.sc7786181" "Caudal"
"314" "SS.sc7786554" "Rostral"
"315" "SS.sc7785643" "Yolk Sac"
"316" "SS.sc7785341" "Rostral"
"317" "SS.sc7786326" "Caudal"
"318" "SS.sc7786322" "Caudal"
"319" "SS.sc7786434" "Caudal"
"320" "SS.sc7785620" "Yolk Sac"
"321" "SS.sc7788174" "Caudal"
"322" "SS.sc7786738" "Rostral"
"323" "SS.sc7785851" "Caudal"
"324" "SS.sc7786450" "Rostral"
"325" "SS.sc7785869" "Caudal"
"326" "SS.sc7788077" "Caudal"
"327" "SS.sc7788068" "Caudal"
"328" "SS.sc7786610" "Rostral"
"329" "SS.sc7786018" "Caudal"
"330" "SS.sc7786314" "Caudal"
"331" "SS.sc7788358" "Caudal"
"332" "SS.sc7788341" "Caudal"
"333" "SS.sc7786535" "Rostral"
"334" "SS.sc7786293" "Caudal"
"335" "SS.sc7785689" "Caudal"
"336" "SS.sc7785720" "Caudal"
"337" "SS.sc7786771" "Rostral"
"338" "SS.sc7788270" "Caudal"
"339" "SS.sc7786070" "Caudal"
"340" "SS.sc7786723" "Rostral"
"341" "SS.sc7785764" "Caudal"
"342" "SS.sc7788093" "Caudal"
"343" "SS.sc7786323" "Caudal"
"344" "SS.sc7785662" "Yolk Sac"
"345" "SS.sc7786251" "Caudal"
"346" "SS.sc7785482" "Yolk Sac"
"347" "SS.sc7786283" "Caudal"
"348" "SS.sc7786393" "Caudal"
"349" "SS.sc7785814" "Caudal"
"350" "SS.sc7786273" "Caudal"
"351" "SS.sc7786343" "Caudal"
"352" "SS.sc7786790" "Rostral"
"353" "SS.sc7785527" "Yolk Sac"
"354" "SS.sc7788240" "Caudal"
"355" "SS.sc7786432" "Caudal"
"356" "SS.sc7786154" "Caudal"
"357" "SS.sc7785972" "Caudal"
"358" "SS.sc7785461" "Rostral"
"359" "SS.sc7786134" "Caudal"
"360" "SS.sc7785859" "Caudal"
"361" "SS.sc7786781" "Rostral"
"362" "SS.sc7788234" "Caudal"
"363" "SS.sc7786695" "Rostral"
"364" "SS.sc7786128" "Caudal"
"365" "SS.sc7786670" "Rostral"
"366" "SS.sc7788123" "Caudal"
"367" "SS.sc7786292" "Caudal"
"368" "SS.sc7785838" "Caudal"
"369" "SS.sc7785387" "Yolk Sac"
"370" "SS.sc7788387" "Caudal"
"371" "SS.sc7785774" "Caudal"
"372" "SS.sc7788166" "Caudal"
"373" "SS.sc7788284" "Caudal"
"374" "SS.sc7785623" "Yolk Sac"
"375" "SS.sc7786497" "Rostral"
"376" "SS.sc7786308" "Caudal"
"377" "SS.sc7785852" "Caudal"
"378" "SS.sc7786264" "Caudal"
"379" "SS.sc7786120" "Caudal"
"380" "SS.sc7786234" "Caudal"
"381" "SS.sc7785507" "Yolk Sac"
"382" "SS.sc7785520" "Yolk Sac"
"383" "SS.sc7785401" "Yolk Sac"
"384" "SS.sc7785845" "Caudal"
"385" "SS.sc7786594" "Rostral"
"386" "SS.sc7786545" "Rostral"
"387" "SS.sc7785422" "Yolk Sac"
"388" "SS.sc7788343" "Caudal"
"389" "SS.sc7786077" "Caudal"
